tileID,lon,lat
T01KGQ,-174.5101783375,-23.0821138719
T01KGR,-174.5264717426,-22.1799758327
T01KGS,-174.5419600586,-21.2771853576
T01KGT,-174.5566559446,-20.3742877922
T01KGU,-174.5705724963,-19.4718288123
T01KGV,-174.5837462457,-18.5687290569
T01KHA,-173.6543796149,-17.6518614338
T01KHB,-173.6706414387,-16.7498607846
T01KHP,-173.5112134523,-23.9655743026
T01KHQ,-173.535007051,-23.063813621
T01KHR,-173.5576221662,-22.162468947
T01KHS,-173.5791194765,-21.2604626168
T01KHT,-173.5995164602,-20.3583400512
T01KHU,-173.6188312104,-19.4566470003
T01KHV,-173.6371143537,-18.5543055327
T01LAC,179.6284745947,-15.8464167009
T01LAD,179.6368034294,-14.9436401359
T01LAE,179.6445980932,-14.0413378789
T01LAF,179.6518783182,-13.1384304878
T01LAG,179.6586488651,-12.2354633596
T01LAH,179.6649149665,-11.3329820948
T01LAJ,179.670692264,-10.4299072158
T01LAK,179.6759842741,-9.5267843993
T01LAL,179.6807950063,-8.6241594855
T01LBC,-179.2901722344,-15.8603913559
T01LBD,-179.2802216358,-14.9568784337
T01LBE,-179.2709215932,-14.053830058
T01LBF,-179.2622485738,-13.1501665129
T01LBG,-179.2541969262,-12.2464342556
T01LBH,-179.2467604181,-11.3431799618
T01LBJ,-179.2399204883,-10.4393238283
T01LBK,-179.2336729893,-9.5354125908
T01LBL,-179.2280131685,-8.6319931608
T01LCC,-178.3564452852,-15.8681774952
T01LCD,-178.3505171233,-14.9641966175
T01LCE,-178.3449751083,-14.0606842828
T01LCF,-178.3398052009,-13.1565599528
T01LCG,-178.3350040167,-12.2523701068
T01LCH,-178.3305678284,-11.3486614415
T01LCJ,-178.3264855526,-10.4443533644
T01LCK,-178.3227547022,-9.5399926463
T01LCL,-178.3193724324,-8.6361262333
T01LDC,-177.4226647717,-15.8719361988
T01LDD,-177.4207788332,-14.9677274763
T01LDE,-177.4190139097,-14.0639892258
T01LDF,-177.4173655216,-13.1596405089
T01LDG,-177.4158325799,-12.2552278157
T01LDH,-177.4144138901,-11.3512978537
T01LDJ,-177.4131059017,-10.4467696457
T01LDK,-177.4119078107,-9.5421899802
T01LDL,-177.410818702,-8.6381058203
T01LEC,-176.4861379367,-15.8717469662
T01LED,-176.4884307599,-14.9675498906
T01LEE,-176.4905764598,-14.0638231901
T01LEF,-176.4925804828,-13.1594859466
T01LEG,-176.4944441524,-12.2550846497
T01LEH,-176.496168921,-11.3511660063
T01LEJ,-176.4977591047,-10.446649059
T01LEK,-176.4992156813,-9.5420805951
T01LEL,-176.5005397631,-8.638007577
T01LFC,-175.552046168,-15.8675924105
T01LFD,-175.5583688896,-14.9636467835
T01LFE,-175.5642795246,-14.0601693991
T01LFF,-175.5697930444,-13.156079781
T01LFG,-175.5749130564,-12.2519244068
T01LFH,-175.5796435343,-11.3482499715
T01LFJ,-175.5839962957,-10.4439759422
T01LFK,-175.5879739911,-9.5396490869
T01LFL,-175.5915796528,-8.6358163493
T01LGC,-174.6189318296,-15.8594183313
T01LGD,-174.6292735077,-14.9559637835
T01LGE,-174.6389389283,-14.052973283
T01LGF,-174.647952546,-13.1493672165
T01LGG,-174.6563202317,-12.2456920385
T01LGH,-174.6640484602,-11.342494422
T01LGJ,-174.6711565188,-10.4386946623
T01LGK,-174.6776487156,-9.5348394906
T01LGL,-174.6835299882,-8.6314758143
T01LHC,-173.6859416087,-15.8472254339
T01LHD,-173.7002907797,-14.9445015026
T01LHE,-173.7137003994,-14.0422353708
T01LHF,-173.7262043531,-13.1393487083
T01LHG,-173.7378107448,-12.2363879349
T01LHH,-173.7485285223,-11.3338996899
T01LHJ,-173.7583844025,-10.4308055008
T01LHK,-173.7673843293,-9.5276520433
T01LHL,-173.7755351246,-8.6249861701
T01MAM,179.6851363367,-7.720952969700001
T01MAN,179.6890107071,-6.8177107521
T01MAP,179.6924210659,-5.9149788553
T01MAQ,179.6953757627,-5.0116777559
T01MAR,179.697876284,-4.1083535194
T01MAS,179.6999246309,-3.2055522912
T01MAT,179.7015257911,-2.3021945372
T01MAU,179.7026803718,-1.3988264284
T01MAV,179.7033894998,-0.4959941723
T01MBM,-179.2229270504,-7.727985667900001
T01MBN,-179.2184117914,-6.823937071499999
T01MBP,-179.2144639267,-5.920394462899999
T01MBQ,-179.2110737847,-5.0162779228
T01MBR,-179.2082396861,-4.1121345769
T01MBS,-179.2059593202,-3.2085116371
T01MBT,-179.2042271293,-2.3043291532
